Time,MemOccupy %Free,CpuTotalUsage(%),Little CPU Freq(Hz),Big CPU Freq(Hz),GPU Utilization(%),GPUBandwidth(MB/s),Current(mA),Temperature(C),Volatge(V),Power(W),cpu0 util,cpu1 util,cpu2 util,cpu3 util,LITTLE util,cpu4 util,cpu5 util,cpu6 util,cpu7 util,Big util
15:22:50 958,0.03,0.24,1844000,1805000,3,6576,-549,310,4.294882,-2.36,0.05,0.05,0.05,0.05,0.21,0.02,0.01,0,0,0.04
15:22:51 092,0.03,19.59,1844000,903000,2,6576,-443,310,4.30178,-1.91,3.09,4.12,5.15,8.25,20.62,0,0,0,1.03,1.03
15:22:51 235,0.03,25.23,1844000,1805000,7,6576,-430,310,4.302789,-1.85,4.67,5.61,5.61,5.61,21.5,0,0.93,1.87,0,2.8
15:22:51 378,0.03,50.43,1844000,1805000,8,6576,-560,310,4.294944,-2.41,10.43,9.57,12.17,9.57,41.74,2.61,2.61,2.61,2.61,10.43
15:22:51 523,0.03,43.41,1844000,1421000,11,6576,-614,310,4.291184,-2.63,8.53,9.3,10.08,9.3,37.21,1.55,1.55,0.78,0.78,4.65
15:22:51 640,0.03,25,1844000,1421000,5,6576,-559,310,4.294245,-2.4,3.12,7.29,7.29,5.21,22.92,1.04,0,1.04,1.04,3.12
15:22:51 763,0.03,15.05,1844000,1421000,2,6576,-409,310,4.304039,-1.76,2.15,5.38,3.23,2.15,12.9,0,0,0,0,0
15:22:51 888,0.03,22,1844000,903000,7,6576,-394,310,4.305221,-1.7,6,5,5,6,22,0,2,0,0,2
15:22:52 025,0.03,49.52,1844000,903000,7,6576,-468,310,4.300858,-2.01,9.52,10.48,9.52,10.48,40,2.86,1.9,3.81,2.86,11.43
15:22:52 149,0.03,45.28,1844000,903000,7,6576,-650,310,4.288977,-2.79,10.38,10.38,10.38,10.38,41.51,0.94,0,0.94,0,1.89
15:22:52 278,0.03,33.33,1709000,903000,7,6576,-475,310,4.299468,-2.04,3.81,4.76,3.81,10.48,22.86,1.9,2.86,2.86,1.9,9.52
15:22:52 408,0.03,17.53,999000,903000,6,6576,-388,310,4.305514,-1.67,5.15,2.06,6.19,4.12,17.53,0,1.03,0,0,1.03
15:22:52 534,0.03,22.64,999000,903000,7,6576,-351,310,4.307919,-1.51,5.66,6.6,6.6,2.83,21.7,0,0,0,0.94,0.94
15:22:52 669,0.03,36.73,1844000,1805000,8,6576,-351,310,4.307919,-1.51,7.14,9.18,7.14,7.14,30.61,3.06,2.04,0,0,5.1
15:22:52 805,0.03,41.51,1844000,1805000,7,6576,-544,310,4.295875,-2.34,6.6,7.55,11.32,9.43,34.91,0.94,3.77,1.89,0.94,7.55
15:22:52 927,0.03,41.75,1844000,903000,7,6576,-680,310,4.28639,-2.91,6.8,6.8,8.74,9.71,32.04,1.94,0.97,2.91,2.91,8.74
15:22:53 058,0.03,17.53,999000,903000,4,6576,-411,310,4.303417,-1.77,2.06,3.09,6.19,4.12,15.46,0,0,1.03,1.03,2.06
15:22:53 185,0.03,19.23,999000,903000,6,6576,-354,310,4.307099,-1.52,3.85,3.85,3.85,5.77,17.31,0,0,0,0.96,0.96
15:22:53 315,0.03,33,1709000,1805000,6,6576,-352,310,4.307496,-1.52,3,4,7,8,22,4,3,3,2,12
15:22:53 458,0.03,42.72,1844000,1805000,7,6576,-529,310,4.296158,-2.27,7.77,9.71,9.71,11.65,38.83,0.97,0.97,0.97,1.94,4.85
15:22:53 595,0.03,40.54,1844000,1421000,4,6576,-655,310,4.287985,-2.81,7.21,8.11,7.21,10.81,33.33,0.9,1.8,1.8,0.9,5.41
15:22:53 713,0.03,21.57,1844000,1421000,5,6576,-480,310,4.298925,-2.06,5.88,5.88,4.9,6.86,23.53,0,0,0,0,0
15:22:53 841,0.03,16.49,999000,903000,7,6576,-379,310,4.30528,-1.63,3.09,1.03,5.15,4.12,13.4,0,1.03,0,1.03,2.06
15:22:53 970,0.03,30.1,1709000,2362000,3,6576,-351,310,4.30747,-1.51,5.83,4.85,5.83,6.8,23.3,3.88,0.97,0.97,0.97,6.8
15:22:54 095,0.03,41.24,1844000,903000,7,11942,-529,310,4.296607,-2.27,9.28,8.25,7.22,8.25,32.99,2.06,3.09,1.03,2.06,8.25
15:22:54 225,0.03,40.38,1844000,903000,6,6576,-635,310,4.28971,-2.72,10.58,7.69,9.62,10.58,38.46,0.96,0.96,0.96,0,2.88
15:22:54 350,0.03,26.32,1844000,903000,10,6576,-578,310,4.292943,-2.48,4.21,3.16,6.32,7.37,21.05,1.05,1.05,2.11,1.05,5.26
15:22:54 468,0.03,18.37,1844000,903000,6,6576,-443,310,4.304641,-1.91,5.1,4.08,7.14,4.08,20.41,0,0,0,0,0
15:22:54 607,0.03,19.79,999000,903000,2,6576,-423,310,4.302607,-1.82,4.17,4.17,6.25,4.17,18.75,0,0,0,0,0
15:22:54 753,0.03,42.75,1844000,903000,4,6576,-420,310,4.302978,-1.81,9.92,9.16,9.92,8.4,37.4,0.76,3.05,0,1.53,5.34
15:22:54 895,0.03,41.58,1844000,1805000,2,6576,-599,310,4.291243,-2.57,8.91,7.92,9.9,8.91,35.64,1.98,0.99,1.98,1.98,6.93
15:22:55 012,0.03,30.69,1844000,903000,6,6576,-585,310,4.292226,-2.51,4.95,5.94,5.94,8.91,25.74,0.99,1.98,0.99,0.99,4.95
15:22:55 134,0.03,17.53,1844000,903000,7,6576,-388,310,4.304391,-1.67,3.09,2.06,6.19,4.12,15.46,0,0,0,1.03,1.03
15:22:55 263,0.03,18.27,1844000,903000,3,6576,-373,310,4.305572,-1.61,4.81,3.85,3.85,4.81,17.31,0,0,0,0,0
15:22:55 399,0.03,39.81,1844000,2362000,4,11942,-516,310,4.297168,-2.22,7.77,5.83,7.77,7.77,29.13,1.94,3.88,2.91,1.94,10.68
15:22:55 536,0.03,39,1844000,903000,2,11942,-740,310,4.282338,-3.17,8,10,10,8,36,1,1,3,0,5
15:22:55 653,0.03,30.1,1844000,903000,5,6576,-687,310,4.285001,-2.94,6.8,4.85,2.91,3.88,18.45,0.97,2.91,0.97,2.91,7.77
15:22:55 771,0.03,16.13,1402000,903000,6,6576,-444,310,4.300459,-1.91,2.15,3.23,4.3,4.3,13.98,0,0,0,0,0
15:22:55 904,0.03,19.42,1402000,903000,2,6576,-361,310,4.305934,-1.55,4.85,4.85,5.83,4.85,20.39,0,0,0,0,0
15:22:56 055,0.03,39.52,1844000,903000,8,17913,-506,310,4.297581,-2.17,7.26,9.68,7.26,7.26,31.45,2.42,3.23,2.42,0.81,8.87
15:22:56 192,0.03,37.86,1844000,903000,7,6576,-730,310,4.282751,-3.13,7.77,10.68,8.74,8.74,35.92,0,0,0.97,0.97,1.94
15:22:56 309,0.03,32.63,1844000,903000,6,6576,-614,310,4.290062,-2.63,5.26,5.26,9.47,6.32,26.32,3.16,2.11,1.05,1.05,7.37
15:22:56 437,0.03,14.85,1844000,903000,4,6576,-512,310,4.295941,-2.2,2.97,3.96,4.95,2.97,14.85,0,0.99,0,0,0.99
15:22:56 568,0.03,20.2,1402000,903000,4,6576,-390,310,4.305029,-1.68,4.04,5.05,5.05,4.04,18.18,1.01,0,0,1.01,2.02
15:22:56 723,0.03,43.55,1844000,903000,4,6576,-489,310,4.298262,-2.1,7.26,11.29,8.87,7.26,34.68,4.03,0.81,0.81,4.03,9.68
15:22:56 902,0.03,41.8,1844000,903000,4,6576,-616,310,4.289889,-2.64,9.02,7.38,11.48,8.2,36.07,1.64,1.64,0.82,0,4.1
15:22:57 021,0.03,31.4,1844000,903000,4,6576,-496,310,4.297321,-2.13,4.96,8.26,8.26,5.79,27.27,0.83,1.65,0.83,1.65,4.96
15:22:57 147,0.03,12.22,999000,903000,7,6576,-407,310,4.30264,-1.75,3.33,2.22,2.22,3.33,11.11,0,0,0,0,0
15:22:57 288,0.03,24.53,1402000,903000,6,6576,-347,310,4.306692,-1.49,4.72,5.66,4.72,8.49,23.58,1.89,0,0.94,0,2.83
15:22:57 417,0.03,42.61,1844000,903000,7,6576,-370,310,4.305494,-1.59,8.7,10.43,11.3,8.7,39.13,0.87,0.87,0.87,0.87,3.48
15:22:57 553,0.03,41.58,1844000,903000,5,6576,-583,310,4.292399,-2.5,6.93,7.92,8.91,10.89,34.65,0.99,0.99,1.98,0.99,4.95
15:22:57 670,0.03,34,1844000,1805000,13,6576,-565,310,4.292829,-2.43,5,7,5,10,27,2,2,2,2,8
15:22:57 791,0.03,17.02,1844000,903000,8,6576,-411,310,4.302519,-1.77,5.32,3.19,5.32,2.13,15.96,0,0,0,0,0
15:22:57 918,0.03,16.67,1402000,903000,2,6576,-376,310,4.304977,-1.62,2.94,3.92,3.92,5.88,16.67,0.98,0,0,0,0.98
15:22:58 100,0.03,36.46,1709000,1805000,7,6576,-371,310,4.305296,-1.6,6.25,3.12,5.21,5.21,19.79,4.17,3.12,2.08,3.12,12.5
15:22:58 240,0.03,42.21,1844000,1805000,7,6576,-611,310,4.289759,-2.62,9.09,9.74,11.69,11.04,41.56,0.65,0,1.3,1.3,3.25
15:22:58 356,0.03,27.37,1844000,1805000,7,6576,-636,310,4.287715,-2.73,3.16,6.32,5.26,5.26,20,1.05,1.05,1.05,2.11,5.26
15:22:58 487,0.03,14.71,1844000,903000,4,6576,-419,310,4.30183,-1.8,2.94,4.9,1.96,4.9,14.71,0,0,0,0,0
15:22:58 615,0.03,15.05,999000,903000,3,6576,-369,310,4.305244,-1.59,5.38,3.23,5.38,3.23,17.2,0,0,0,0,0
15:22:58 785,0.03,41.43,1844000,1805000,8,6576,-354,310,4.297002,-1.52,6.43,9.29,7.14,7.86,30.71,2.14,2.14,1.43,3.57,9.29
15:22:58 914,0.03,37.37,1844000,1805000,4,6576,-615,310,4.289863,-2.64,8.08,12.12,8.08,8.08,36.36,0,1.01,1.01,0,2.02
15:22:59 032,0.03,33.33,1844000,1805000,6,6576,-650,310,4.287406,-2.79,7.29,5.21,5.21,7.29,25,2.08,1.04,3.12,2.08,8.33
15:22:59 151,0.03,15.96,1844000,1805000,8,6576,-442,310,4.300182,-1.9,3.19,4.26,2.13,4.26,13.83,0,0,0,0,0
15:22:59 283,0.03,17.82,1402000,903000,3,6576,-402,310,4.302959,-1.73,4.95,3.96,3.96,3.96,16.83,0,0.99,0,0,0.99
15:22:59 446,0.03,39.23,1844000,2362000,3,11942,-363,310,4.294209,-1.56,9.23,6.92,8.46,6.92,31.54,2.31,3.85,1.54,1.54,9.23
