Time,MemOccupy %Free,CpuTotalUsage(%),Little CPU Freq(Hz),Big CPU Freq(Hz),GPU Utilization(%),GPUBandwidth(MB/s),Current(mA),Temperature(C),Volatge(V),Power(W),cpu0 util,cpu1 util,cpu2 util,cpu3 util,LITTLE util,cpu4 util,cpu5 util,cpu6 util,cpu7 util,Big util
15:28:28 000,0.03,0.25,1709000,2362000,13,17913,-1494,310,4.226509,-6.31,0.05,0.05,0.05,0.05,0.21,0.02,0.01,0.01,0.01,0.04
15:28:28 125,0.03,57.84,1844000,2362000,16,17913,-1712,310,4.211972,-7.21,4.9,1.96,6.86,7.84,21.57,8.82,6.86,8.82,7.84,32.35
15:28:28 256,0.03,54.55,1402000,2362000,16,17913,-1649,310,4.215947,-6.95,6.06,5.05,4.04,6.06,21.21,8.08,11.11,8.08,9.09,36.36
15:28:28 381,0.03,55.79,1709000,2362000,14,17913,-1561,310,4.220843,-6.59,5.26,3.16,7.37,6.32,22.11,9.47,9.47,6.32,7.37,32.63
15:28:28 520,0.03,47.22,1402000,2362000,5,17913,-1521,310,4.222721,-6.42,3.7,2.78,5.56,5.56,17.59,10.19,5.56,5.56,6.48,27.78
15:28:28 647,0.03,36.79,1844000,2362000,14,17913,-1150,310,4.246077,-4.88,6.6,6.6,9.43,7.55,30.19,8.49,0,0,0,8.49
15:28:28 773,0.03,14.29,1402000,2362000,7,17913,-650,310,4.276854,-2.78,3.3,2.2,3.3,4.4,13.19,0,0,0,1.1,1.1
15:28:28 901,0.03,22.64,1709000,903000,8,6576,-533,310,4.284813,-2.28,6.6,6.6,5.66,5.66,24.53,0,0,0,0,0
15:28:29 028,0.03,29.17,1844000,1805000,23,6576,-417,310,4.292348,-1.79,6.25,7.29,7.29,4.17,25,1.04,2.08,0,1.04,4.17
15:28:29 156,0.03,45.28,1844000,2362000,18,17913,-483,310,4.275193,-2.06,9.43,9.43,9.43,6.6,34.91,0,0.94,10.38,0,11.32
15:28:29 274,0.03,50,1844000,2362000,10,17913,-1208,310,4.244217,-5.13,2.08,5.21,5.21,3.12,15.62,5.21,6.25,12.5,7.29,31.25
